Listing ID,Listing Name,Property Type,Room Type,Host ID,Host Name,Is Superhost,Latitude,Longitude,Max Guests,Bedrooms,Beds,Bathrooms,Is Instant Bookable,Cancellation Policy,Cleaning Fee,Extra Guest Fee,Number of Reviews,Overall Rating,Location Rating,Value Rating,TTM Avg Daily Rate,TTM Occupancy Rate,L90D Avg Daily Rate,L90D Occupancy Rate,Price Per Guest,City Category
15937376,Good location and comfortable flat in Yerevan,entire rental unit,entire_home,103438567,Shushan,FALSE,40.1913,44.5033,4,2,3,1,NA,flexible,20,NA,31,4.97,4.9,4.8,61.7,0.002,65.1,0,15.425,Yerevan Area
16073280,Comfortable apartment near farmers market,entire rental unit,entire_home,3705068,Sam,FALSE,40.2052,44.5209,2,1,2,1,TRUE,moderate,40,0,8,4.38,4.3,4.4,15.7,0.003,12.9,0.005,7.85,Other Armenia
16181935,My Apartments Yerevan (Duplex),entire serviced apartment,entire_home,105656520,My Apartments,FALSE,40.1844,44.5217,4,2,5,1,TRUE,flexible,0,0,189,4.75,4.9,4.8,90.5,0,82.1,0,22.625,Yerevan Area
16183274,My Apartments Yerevan (Studio),entire serviced apartment,entire_home,105656520,My Apartments,FALSE,40.1848,44.5203,3,NA,2,1,TRUE,flexible,0,0,32,4.84,5,4.8,78.6,0.001,77.9,0.001,26.2,Yerevan Area
16279137,"Central, modern flat with Ararat view from balcony",entire rental unit,entire_home,16610743,Lene,FALSE,40.1838,44.5166,2,1,5,1,FALSE,moderate,10,0,72,4.9,5,4.9,81.2,0.001,83.4,0,40.6,Yerevan Area
16422668,Your  ideal apartment in the center of Yerevan,entire rental unit,entire_home,107652567,Rita,FALSE,40.1813,44.5276,3,2,3,1,FALSE,flexible,30,0,7,5,5,5,82.2,0.003,82.7,0.002,27.400000000000002,Yerevan Area
16568880,Apartment in center North Avenue,entire rental unit,entire_home,109148552,Mихаил,TRUE,40.1836,44.5134,3,1,1,1,TRUE,moderate,10,0,307,4.9,5,4.9,46.2,0.006999999999999999,48.1,0.008,15.4,Yerevan Area
16610492,Nice & Cozy apartment near Dalma Garden Mall,entire rental unit,entire_home,51153256,Louisa,FALSE,40.1795,44.4881,4,1,2,1,FALSE,flexible,9,15,3,5,5,5,50.3,0,50.4,0.001,12.575,Yerevan Area
16974466,2-BDR/Perfect Location/Cozy,entire rental unit,entire_home,511676899,My,TRUE,40.184,44.5188,6,2,3,1,TRUE,moderate,30,0,35,4.86,4.9,4.7,78.9,0.002,83.5,0.003,13.15,Yerevan Area
17009024,Apartments in the CITY CENTER near the OPERA,entire rental unit,entire_home,109148552,Mихаил,TRUE,40.1849,44.5114,3,1,1,1.5,TRUE,moderate,10,0,323,4.85,5,4.9,44.7,0.004,46.6,0.005,14.9,Yerevan Area
17018473,Apartment Near Main Postal Office by RIS,entire rental unit,entire_home,501943261,Milena,TRUE,40.1864,44.5048,5,2,4,1.5,TRUE,moderate,0,0,54,4.91,4.8,4.9,63.9,0.001,61.7,0.001,12.78,Yerevan Area
17128685,Spacious pentouse on Amiryan,entire rental unit,entire_home,12525702,NA,FALSE,40.1799,44.5068,6,3,3,3,NA,NA,NA,NA,31,4.58,4.9,4.7,49.9,0.002,52.5,0,8.316666666666666,Yerevan Area
17298551,Cozy 2-bedroom apt. w/balcony by Lovers' Park.,entire rental unit,entire_home,116701807,Rufina,TRUE,40.1929,44.506100000000004,4,2,3,1.5,FALSE,firm,70,0,36,4.72,4.9,4.7,38.4,0.001,41.5,0,9.6,Yerevan Area
17344667,"Full of classic Yerevan charm, on Abovian street",entire rental unit,entire_home,14838926,Anoush,TRUE,40.1889,44.5242,4,2,2,1,FALSE,strict,0,0,57,4.86,4.8,4.8,53.8,0.003,53.7,0.001,13.45,Yerevan Area
